time,num_flashes,period,period_adjust,phase,phase_adjust
2022-05-01 18:41:16.100,1,706,6,86,10
2022-05-01 18:41:25.206,2,772,66,287,110
2022-05-01 18:41:26.41,3,811,39,198,65
2022-05-01 18:41:26.941,4,837,26,154,43
2022-05-01 18:41:27.774,5,837,0,64,0
2022-05-01 18:41:28.675,6,830,-7,41,-12
2022-05-01 18:41:29.642,7,836,6,86,10
2022-05-01 18:41:30.543,8,836,0,63,0
2022-05-01 18:41:31.484,9,835,-1,72,-2
2022-05-01 18:41:32.411,10,835,0,63,0
2022-05-01 18:41:33.379,11,841,6,87,10
2022-05-01 18:41:34.346,12,854,13,108,21
2022-05-01 18:41:35.279,13,860,6,85,10
2022-05-01 18:41:36.248,14,866,6,86,11
