time,num_flashes,period,period_adjust,phase,phase_adjust
2022-04-25 16:31:43.510,1,1395,-5,113,-9
2022-04-25 16:31:44.605,2,1331,-64,1315,-107
2022-04-25 16:31:45.805,3,1268,-63,1252,-105
2022-04-25 16:31:47.58,4,1228,-40,1266,-67
2022-04-25 16:31:48.309,5,1206,-22,1288,-38
2022-04-25 16:31:49.663,6,1201,-5,113,-9
2022-04-25 16:31:50.966,7,1216,15,182,25
2022-04-25 16:31:52.135,8,1212,-4,119,-7
2022-04-25 16:31:53.418,9,1214,2,163,3
2022-04-25 16:31:54.689,10,1231,17,190,28
2022-04-25 16:31:55.919,11,1233,2,162,4
2022-04-25 16:31:57.138,12,1230,-3,120,-6
2022-04-25 16:31:58.421,13,1233,3,161,5
2022-04-25 16:31:59.640,14,1230,-3,120,-5
2022-04-25 16:32:00.924,15,1231,1,164,3
2022-04-25 16:32:02.142,16,1228,-3,121,-6
2022-04-25 16:32:03.425,17,1230,2,164,3
2022-04-25 16:32:04.644,18,1227,-3,119,-5
2022-04-25 16:32:05.926,19,1229,2,164,3
2022-04-25 16:32:07.146,20,1226,-3,120,-5
2022-04-25 16:32:08.430,21,1227,1,166,3
2022-04-25 16:32:09.648,22,1224,-3,120,-5
2022-04-25 16:32:10.930,23,1225,1,164,3
2022-04-25 16:32:12.149,24,1221,-4,119,-6
2022-04-25 16:32:13.433,25,1223,2,165,3
2022-04-25 16:32:14.651,26,1220,-3,121,-6
2022-04-25 16:32:15.934,27,1222,2,165,3
